"SITE_ID","FW_ECO9","NTL_RESULT","PTL_RESULT"
"NLA12_WA-141","WMT",0.31,23
"NLA12_RI-113","NAP",0.601,29
"NLA12_SD-111","TPL",3.881,162
"NLA12_NJ-102","NAP",0.828,158
"NLA12_NJ-119","NAP",0.336,17
"NLA12_UT-222","WMT",1.466,83
"NLA12_UT-137","WMT",1.253,147
"NLA12_ID-112","WMT",0.256,41
"NLA12_ID-102","WMT",0.173,29
"NLA12_ID-108","WMT",0.095,22
"NLA12_ID-207","WMT",0.235,43
"NLA12_CA-R13","WMT",0.074,11
"NLA12_CO-101","SPL",3.058,76
"NLA12_NY-R02","NAP",0.224,12
"NLA12_TX-136","SPL",1.669,113
"NLA12_WA-101","WMT",0.344,21
"NLA12_ID-165","WMT",1.536,118
"NLA12_ID-121","WMT",0.149,65
"NLA12_ID-105","WMT",0.478,29
"NLA12_NY-0106","NAP",0.248,14
"NLA12_SD-134","NPL",2.731,928
"NLA12_CA-R12","WMT",0.281,10
"NLA12_TX-111","SPL",1.589,28
"NLA12_NY-0110","NAP",0.321,11
"NLA12_OR-113","WMT",0.213,25
"NLA12_CA-190","XER",1.32,123
"NLA12_NJ-104","CPL",0.399,39
"NLA12_NJ-101","NAP",0.593,49
"NLA12_IL-118","TPL",1.136,91
"NLA12_MD-115","CPL",1.548,87
"NLA12_CT-118","NAP",0.255,5
"NLA12_UT-294","WMT",0.14,24
"NLA12_OR-123","WMT",0.191,37
"NLA12_AL-102","SAP",0.389,12
"NLA12_CA-154","XER",0.282,166
"NLA12_CA-R06","WMT",0.294,33
"NLA12_NH-111","NAP",0.239,13
"NLA12_OH-118","TPL",0.149,5
"NLA12_RI-103","NAP",0.283,20
"NLA12_VA-118","SAP",3.081,426
"NLA12_SD-108","NPL",1.023,57
"NLA12_MN-113","TPL",3.844,236
"NLA12_TX-112","SPL",0.419,23
"NLA12_TX-152","SPL",5.913,486
"NLA12_IL-104","TPL",0.731,17
"NLA12_OR-155","WMT",0.411,51
"NLA12_MI-144","UMW",0.643,26
"NLA12_CA-R10","WMT",0.289,59
"NLA12_MO-103","TPL",0.689,34
"NLA12_WA-126","WMT",0.171,40
"NLA12_WA-112","WMT",0.523,93
"NLA12_WA-108","WMT",0.259,38
"NLA12_VA-110","SAP",0.379,19
"NLA12_VA-103","SAP",0.368,24
"NLA12_OK-299","SAP",0.47,5
"NLA12_CA-167","WMT",0.112,4.1
"NLA12_RI-108","NAP",0.291,16
"NLA12_TX-201","CPL",0.754,43
"NLA12_NY-0109","NAP",0.485,26
"NLA12_SD-105","NPL",1.895,100
"NLA12_IN-146","SAP",0.285,24
"NLA12_PA-114","NAP",0.27,5
"NLA12_NV-177","XER",0.415,88
"NLA12_NV-137","XER",0.351,230
"NLA12_IL-106","TPL",1.188,62
"NLA12_NY-0111","NAP",0.426,12
"NLA12_OK-296","SPL",3.14,327
"NLA12_NY-R08","NAP",0.289,17
"NLA12_IN-116","SAP",0.556,16
"NLA12_CA-R05","WMT",0.068,6
"NLA12_AZ-140","XER",0.571,38
"NLA12_AL-R03","SAP",0.126,31
"NLA12_AL-103","SAP",0.449,56
"NLA12_OH-127","SAP",0.208,8
"NLA12_NH-109","NAP",0.125,7
"NLA12_ME-R11","NAP",0.329,17
"NLA12_MD-103","SAP",0.271,5
"NLA12_TX-182","SPL",0.609,39
"NLA12_NV-144","XER",0.206,20
"NLA12_GA-102","CPL",0.425,157
"NLA12_ME-114","NAP",0.3,6
"NLA12_MT-106","NPL",0.166,11
"NLA12_CO-119","WMT",0.398,5
"NLA12_CO-106","SPL",0.235,15
"NLA12_CA-R01","WMT",0.174,31
"NLA12_NY-R04","NAP",1.271,136
"NLA12_NY-R11","NAP",0.14,9
"NLA12_CA-111","XER",0.0643,7.2
"NLA12_NE-101","SPL",0.923,219
"NLA12_ND-114","NPL",1.564,153
"NLA12_SD-133","NPL",1.841,304
"NLA12_PA-R10","SAP",0.121,10
"NLA12_PA-R11","SAP",0.141,22
"NLA12_OK-306","SPL",0.57,5
"NLA12_CA-200","WMT",0.152,4.1
"NLA12_UT-203","WMT",0.114,6
"NLA12_AL-104","CPL",0.344,37
"NLA12_NE-106","TPL",1.905,144
"NLA12_IN-108","UMW",1.051,58
"NLA12_MS-103","CPL",0.44,54
"NLA12_AL-112","CPL",0.379,33
"NLA12_AL-R05","CPL",0.326,24
"NLA12_NY-R07","NAP",1.808,176
"NLA12_VA-R14","SAP",0.159,13
"NLA12_CA-R03","XER",0.121,16
"NLA12_MN-126","UMW",0.766,28
"NLA12_WY-124","WMT",0.063,42
"NLA12_ND-109","NPL",2.83,176
"NLA12_IL-120","TPL",1.198,109
"NLA12_ME-R08","NAP",0.23,10
"NLA12_ME-R02","NAP",0.205,13
"NLA12_AR-101","CPL",0.92,88
"NLA12_CO-129","SPL",0.744,45
"NLA12_CA-R02","WMT",0.14,40
"NLA12_OK-119","SPL",1.18,17
"NLA12_MN-141","UMW",0.531,41
"NLA12_MS-126","CPL",0.76,82
"NLA12_NE-110","TPL",4.163,1399
"NLA12_WY-102","NPL",0.849,82
"NLA12_AR-105","CPL",0.476,34
"NLA12_VA-104","SAP",0.179,19
"NLA12_MN-110","UMW",0.791,40
"NLA12_ID-210","WMT",0.051,9
"NLA12_ID-145","WMT",0.029,23
"NLA12_SD-189","NPL",2.4,147
"NLA12_MO-101","TPL",1.318,97
"NLA12_ND-149","NPL",6.2,1254
"NLA12_ND-164","NPL",3.373,333
"NLA12_MN-R12","UMW",0.668,25
"NLA12_ME-134","NAP",0.3,10
"NLA12_NY-R06","NAP",0.34,23
"NLA12_NY-R03","NAP",0.251,9
"NLA12_CA-166","WMT",0.162,4.1
"NLA12_CA-112","XER",0.167,7.5
"NLA12_MN-157","UMW",2.049,86
"NLA12_ME-R15","NAP",0.145,12
